15.05.2021,101,GOLD,A1,3
15.05.2021,102,SILVER,B2,5
15.05.2021,103,GOLD,D4,7
16.05.2021,201,GOLD,A2,7
16.05.2021,202,BRONZE,D1,3
16.05.2021,203,SILVER,C2,9
16.05.2021,204,FREE,C4,5
17.05.2021,301,FREE,A3,3
17.05.2021,302,GOLD,E2,11
17.05.2021,303,SILVER,E5,6
17.05.2021,304,BRONZE,D5,4
17.05.2021,305,FREE,C3,5
18.05.2021,401,FREE,B5,2
18.05.2021,402,GOLD,B3,7
18.05.2021,403,FREE,B4,8
18.05.2021,404,SILVER,D3,3
19.05.2021,501,FREE,C5,6
19.05.2021,502,GOLD,C1,5
19.05.2021,503,GOLD,B1,3
19.05.2021,504,FREE,A4,12
19.05.2021,505,BRONZE,D2,8
19.05.2021,506,SILVER,A5,9
